"","longitude","latitude","pop"
"1",-77.0824996768677,-11.9358330848087,187.666305541992
"2",-77.0833330101977,-11.9374997514687,185.232482910156
"3",-77.128333010019,-11.9383330847986,66.2905502319336
"4",-77.127499676689,-11.9383330847986,67.8002090454102
"5",-77.1266663433589,-11.9383330847986,59.1371459960938
"6",-77.0841663435277,-11.9383330847986,196.618850708008
"7",-77.0833330101977,-11.9383330847986,176.082763671875
"8",-77.128333010019,-11.9391664181286,60.6148567199707
"9",-77.127499676689,-11.9391664181286,64.8421859741211
"10",-77.1266663433589,-11.9391664181286,52.2194938659668
"11",-77.1258330100289,-11.9391664181286,52.3351821899414
"12",-77.0841663435277,-11.9391664181286,187.573806762695
"13",-77.127499676689,-11.9399997514586,55.2452583312988
"14",-77.1266663433589,-11.9399997514586,50.8584365844727
"15",-77.1258330100289,-11.9399997514586,50.1029167175293
"16",-77.0849996768577,-11.9399997514586,198.119400024414
"17",-77.0841663435277,-11.9399997514586,180.351409912109
"18",-77.127499676689,-11.9408330847886,50.912769317627
"19",-77.1266663433589,-11.9408330847886,50.9875297546387
"20",-77.1258330100289,-11.9408330847886,51.6399040222168
"21",-77.1249996766989,-11.9408330847886,49.4012298583984
"22",-77.0858330101877,-11.9408330847886,199.673385620117
"23",-77.0849996768577,-11.9408330847886,191.534439086914
"24",-77.127499676689,-11.9416664181186,48.7686424255371
"25",-77.1266663433589,-11.9416664181186,48.5589942932129
"26",-77.1258330100289,-11.9416664181186,50.0718650817871
"27",-77.1249996766989,-11.9416664181186,50.3041954040527
"28",-77.0858330101877,-11.9416664181186,201.60514831543
"29",-77.0849996768577,-11.9416664181186,188.564849853516
"30",-77.1266663433589,-11.9424997514485,46.0547828674316
"31",-77.1258330100289,-11.9424997514485,48.4894561767578
"32",-77.1249996766989,-11.9424997514485,46.7722396850586
"33",-77.1241663433689,-11.9424997514485,46.3838958740234
"34",-77.0866663435178,-11.9424997514485,202.552581787109
"35",-77.0858330101877,-11.9424997514485,200.854095458984
"36",-77.0849996768577,-11.9424997514485,198.741226196289
"37",-77.1258330100289,-11.9433330847785,46.3821868896484
"38",-77.1249996766989,-11.9433330847785,45.4482803344727
"39",-77.1241663433689,-11.9433330847785,46.0073013305664
"40",-77.1233330100388,-11.9433330847785,47.80908203125
"41",-77.0874996768478,-11.9433330847785,204.677474975586
"42",-77.0866663435178,-11.9433330847785,201.720809936523
"43",-77.0858330101877,-11.9433330847785,198.319320678711
"44",-77.0849996768577,-11.9433330847785,198.92512512207
"45",-77.1249996766989,-11.9441664181085,46.6158561706543
"46",-77.1241663433689,-11.9441664181085,47.7606430053711
"47",-77.1233330100388,-11.9441664181085,45.6782531738281
"48",-77.1224996767088,-11.9441664181085,47.6051483154297
"49",-77.1216663433788,-11.9441664181085,46.4645385742188
"50",-77.0883330101778,-11.9441664181085,199.92854309082
"51",-77.0874996768478,-11.9441664181085,203.918182373047
"52",-77.0866663435178,-11.9441664181085,202.124130249023
"53",-77.0858330101877,-11.9441664181085,200.590759277344
"54",-77.0849996768577,-11.9441664181085,190.856140136719
"55",-77.1241663433689,-11.9449997514385,46.0968627929688
"56",-77.1233330100388,-11.9449997514385,47.1021919250488
"57",-77.1224996767088,-11.9449997514385,45.4093055725098
"58",-77.1216663433788,-11.9449997514385,47.528450012207
"59",-77.1208330100488,-11.9449997514385,46.5684661865234
"60",-77.1199996767187,-11.9449997514385,43.3802833557129
"61",-77.1191663433887,-11.9449997514385,44.4055862426758
"62",-77.0899996768379,-11.9449997514385,193.364624023438
"63",-77.0891663435078,-11.9449997514385,197.251129150391
"64",-77.0883330101778,-11.9449997514385,199.089813232422
"65",-77.0874996768478,-11.9449997514385,203.672561645508
"66",-77.0866663435178,-11.9449997514385,200.905685424805
"67",-77.0858330101877,-11.9449997514385,200.427658081055
"68",-77.0849996768577,-11.9449997514385,191.618438720703
"69",-77.1233330100388,-11.9458330847685,45.6572418212891
"70",-77.1224996767088,-11.9458330847685,45.7728805541992
"71",-77.1216663433788,-11.9458330847685,45.5093002319336
"72",-77.1208330100488,-11.9458330847685,46.5241279602051
"73",-77.1199996767187,-11.9458330847685,42.764045715332
"74",-77.1191663433887,-11.9458330847685,43.8978080749512
"75",-77.1183330100587,-11.9458330847685,37.9674263000488
"76",-77.1174996767287,-11.9458330847685,37.0460166931152
"77",-77.0924996768279,-11.9458330847685,185.096893310547
"78",-77.0916663434979,-11.9458330847685,189.901321411133
"79",-77.0908330101679,-11.9458330847685,185.810012817383
"80",-77.0899996768379,-11.9458330847685,196.476654052734
"81",-77.0891663435078,-11.9458330847685,201.803009033203
"82",-77.0883330101778,-11.9458330847685,201.073348999023
"83",-77.0874996768478,-11.9458330847685,205.20166015625
"84",-77.0866663435178,-11.9458330847685,202.61653137207
"85",-77.0858330101877,-11.9458330847685,201.868789672852
"86",-77.1233330100388,-11.9466664180984,44.0673217773438
"87",-77.1224996767088,-11.9466664180984,43.8003692626953
"88",-77.1216663433788,-11.9466664180984,44.4501152038574
"89",-77.1208330100488,-11.9466664180984,44.0600090026855
"90",-77.1199996767187,-11.9466664180984,43.4327735900879
"91",-77.1191663433887,-11.9466664180984,39.9940185546875
"92",-77.1183330100587,-11.9466664180984,35.6149711608887
"93",-77.1174996767287,-11.9466664180984,33.5993995666504
"94",-77.1166663433986,-11.9466664180984,35.3010177612305
"95",-77.1158330100686,-11.9466664180984,34.1488609313965
"96",-77.1149996767386,-11.9466664180984,33.0219879150391
"97",-77.1141663434086,-11.9466664180984,34.2135581970215
