"","rep.resultsdf.longitude..resultsdf.model.","rep.resultsdf.latitude..resultsdf.model."
"246",-77.1024996767882,-11.9866664179375
"247",-77.095833010148,-11.9866664179375
"248",-77.094999676818,-11.9866664179375
"249",-77.093333010158,-11.9866664179375
"250",-77.0899996768379,-11.9866664179375
"251",-77.0866663435178,-11.9866664179375
"252",-77.0833330101977,-11.9866664179375
"253",-77.1133330100785,-11.9874997512675
"254",-77.1108330100885,-11.9874997512675
"255",-77.1091663434284,-11.9874997512675
"256",-77.1066663434383,-11.9874997512675
"257",-77.1049996767783,-11.9874997512675
"258",-77.1016663434582,-11.9874997512675
"259",-77.1008330101282,-11.9874997512675
"260",-77.0991663434681,-11.9874997512675
"261",-77.095833010148,-11.9874997512675
"262",-77.094166343488,-11.9874997512675
"263",-77.094166343488,-11.9874997512675
"264",-77.094166343488,-11.9874997512675
"265",-77.0849996768577,-11.9874997512675
"266",-77.0816663435376,-11.9874997512675
"267",-77.1141663434086,-11.9883330845975
"268",-77.1116663434185,-11.9883330845975
"269",-77.1116663434185,-11.9883330845975
"270",-77.1091663434284,-11.9883330845975
"271",-77.1091663434284,-11.9883330845975
"272",-77.1074996767684,-11.9883330845975
"273",-77.1033330101183,-11.9883330845975
"274",-77.1033330101183,-11.9883330845975
"275",-77.1024996767882,-11.9883330845975
"276",-77.1016663434582,-11.9883330845975
"277",-77.0966663434781,-11.9883330845975
"278",-77.094999676818,-11.9883330845975
"279",-77.0858330101877,-11.9883330845975
"280",-77.0858330101877,-11.9883330845975
"281",-77.0841663435277,-11.9883330845975
"282",-77.0833330101977,-11.9883330845975
"283",-77.0824996768677,-11.9883330845975
"284",-77.0816663435376,-11.9883330845975
"285",-77.1141663434086,-11.9891664179275
"286",-77.1141663434086,-11.9891664179275
"287",-77.1133330100785,-11.9891664179275
"288",-77.1116663434185,-11.9891664179275
"289",-77.1108330100885,-11.9891664179275
"290",-77.1108330100885,-11.9891664179275
"291",-77.1066663434383,-11.9891664179275
"292",-77.1058330101083,-11.9891664179275
"293",-77.1041663434483,-11.9891664179275
"294",-77.1033330101183,-11.9891664179275
"295",-77.094999676818,-11.9891664179275
"296",-77.094999676818,-11.9891664179275
"297",-77.093333010158,-11.9891664179275
"298",-77.093333010158,-11.9891664179275
"299",-77.0899996768379,-11.9891664179275
"300",-77.0883330101778,-11.9891664179275
"301",-77.0833330101977,-11.9891664179275
"302",-77.1149996767386,-11.9899997512574
"303",-77.1133330100785,-11.9899997512574
"304",-77.1108330100885,-11.9899997512574
"305",-77.1091663434284,-11.9899997512574
"306",-77.1008330101282,-11.9899997512574
"307",-77.0999996767982,-11.9899997512574
"308",-77.0999996767982,-11.9899997512574
"309",-77.0991663434681,-11.9899997512574
"310",-77.0966663434781,-11.9899997512574
"311",-77.094999676818,-11.9899997512574
"312",-77.094166343488,-11.9899997512574
"313",-77.093333010158,-11.9899997512574
"314",-77.0899996768379,-11.9899997512574
"315",-77.0899996768379,-11.9899997512574
"316",-77.0858330101877,-11.9899997512574
"317",-77.0858330101877,-11.9899997512574
"318",-77.0824996768677,-11.9899997512574
"319",-77.1183330100587,-11.9908330845874
"320",-77.1149996767386,-11.9908330845874
"321",-77.1124996767485,-11.9908330845874
"322",-77.1099996767584,-11.9908330845874
"323",-77.1066663434383,-11.9908330845874
"324",-77.1033330101183,-11.9908330845874
"325",-77.1033330101183,-11.9908330845874
"326",-77.1016663434582,-11.9908330845874
"327",-77.0991663434681,-11.9908330845874
"328",-77.0974996768081,-11.9908330845874
"329",-77.094166343488,-11.9908330845874
"330",-77.0874996768478,-11.9908330845874
"331",-77.0874996768478,-11.9908330845874
"332",-77.0866663435178,-11.9908330845874
"333",-77.0866663435178,-11.9908330845874
"334",-77.1174996767287,-11.9916664179174
"335",-77.1174996767287,-11.9916664179174
"336",-77.1174996767287,-11.9916664179174
"337",-77.1174996767287,-11.9916664179174
"338",-77.1174996767287,-11.9916664179174
"339",-77.1166663433986,-11.9916664179174
"340",-77.1166663433986,-11.9916664179174
"341",-77.1166663433986,-11.9916664179174
"342",-77.1158330100686,-11.9916664179174
"343",-77.1141663434086,-11.9916664179174
"344",-77.1099996767584,-11.9916664179174
"345",-77.1058330101083,-11.9916664179174
"346",-77.1016663434582,-11.9916664179174
"347",-77.1008330101282,-11.9916664179174
"348",-77.1008330101282,-11.9916664179174
"349",-77.094999676818,-11.9916664179174
"350",-77.093333010158,-11.9916664179174
"351",-77.0908330101679,-11.9916664179174
"352",-77.0899996768379,-11.9916664179174
"353",-77.0841663435277,-11.9916664179174
"354",-77.1166663433986,-11.9924997512474
"355",-77.1158330100686,-11.9924997512474
"356",-77.1133330100785,-11.9924997512474
"357",-77.1133330100785,-11.9924997512474
"358",-77.1066663434383,-11.9924997512474
"359",-77.1049996767783,-11.9924997512474
"360",-77.1033330101183,-11.9924997512474
"361",-77.1024996767882,-11.9924997512474
"362",-77.1016663434582,-11.9924997512474
"363",-77.1016663434582,-11.9924997512474
"364",-77.1008330101282,-11.9924997512474
"365",-77.0999996767982,-11.9924997512474
"366",-77.0991663434681,-11.9924997512474
"367",-77.0966663434781,-11.9924997512474
"368",-77.0966663434781,-11.9924997512474
"369",-77.093333010158,-11.9924997512474
"370",-77.0924996768279,-11.9924997512474
"371",-77.0924996768279,-11.9924997512474
"372",-77.0908330101679,-11.9924997512474
"373",-77.1141663434086,-11.9933330845774
"374",-77.1124996767485,-11.9933330845774
"375",-77.1074996767684,-11.9933330845774
"376",-77.1074996767684,-11.9933330845774
"377",-77.1016663434582,-11.9933330845774
"378",-77.1008330101282,-11.9933330845774
"379",-77.0999996767982,-11.9933330845774
"380",-77.095833010148,-11.9933330845774
"381",-77.0866663435178,-11.9933330845774
"382",-77.0866663435178,-11.9933330845774
"383",-77.0858330101877,-11.9933330845774
"384",-77.0849996768577,-11.9933330845774
"385",-77.1158330100686,-11.9941664179073
"386",-77.1099996767584,-11.9941664179073
"387",-77.1099996767584,-11.9941664179073
"388",-77.1083330100984,-11.9941664179073
"389",-77.1083330100984,-11.9941664179073
"390",-77.1041663434483,-11.9941664179073
"391",-77.1033330101183,-11.9941664179073
"392",-77.1033330101183,-11.9941664179073
"393",-77.1024996767882,-11.9941664179073
"394",-77.093333010158,-11.9941664179073
"395",-77.0866663435178,-11.9941664179073
"396",-77.0849996768577,-11.9941664179073
"397",-77.1116663434185,-11.9949997512373
"398",-77.1116663434185,-11.9949997512373
"399",-77.1116663434185,-11.9949997512373
"400",-77.1116663434185,-11.9949997512373
"401",-77.1108330100885,-11.9949997512373
"402",-77.1108330100885,-11.9949997512373
"403",-77.1108330100885,-11.9949997512373
"404",-77.1099996767584,-11.9949997512373
"405",-77.1091663434284,-11.9949997512373
"406",-77.1058330101083,-11.9949997512373
"407",-77.1058330101083,-11.9949997512373
"408",-77.1033330101183,-11.9949997512373
"409",-77.0991663434681,-11.9949997512373
"410",-77.0974996768081,-11.9949997512373
"411",-77.094999676818,-11.9949997512373
"412",-77.0916663434979,-11.9949997512373
"413",-77.0891663435078,-11.9949997512373
"414",-77.0883330101778,-11.9949997512373
"415",-77.0874996768478,-11.9949997512373
"416",-77.1133330100785,-11.9958330845673
"417",-77.1108330100885,-11.9958330845673
"418",-77.1099996767584,-11.9958330845673
"419",-77.1033330101183,-11.9958330845673
"420",-77.1024996767882,-11.9958330845673
"421",-77.1008330101282,-11.9958330845673
"422",-77.0983330101381,-11.9958330845673
"423",-77.094166343488,-11.9958330845673
"424",-77.0841663435277,-11.9958330845673
"425",-77.1124996767485,-11.9966664178973
"426",-77.1074996767684,-11.9966664178973
"427",-77.1041663434483,-11.9966664178973
"428",-77.1041663434483,-11.9966664178973
"429",-77.1024996767882,-11.9966664178973
"430",-77.0899996768379,-11.9966664178973
"431",-77.0841663435277,-11.9966664178973
"432",-77.0833330101977,-11.9966664178973
"433",-77.1116663434185,-11.9974997512273
"434",-77.1083330100984,-11.9974997512273
"435",-77.1083330100984,-11.9974997512273
"436",-77.1083330100984,-11.9974997512273
"437",-77.1066663434383,-11.9974997512273
"438",-77.1041663434483,-11.9974997512273
"439",-77.1016663434582,-11.9974997512273
"440",-77.0974996768081,-11.9974997512273
"441",-77.094166343488,-11.9974997512273
"442",-77.0874996768478,-11.9974997512273
"443",-77.1066663434383,-11.9983330845572
"444",-77.1058330101083,-11.9983330845572
"445",-77.1041663434483,-11.9983330845572
"446",-77.1008330101282,-11.9983330845572
"447",-77.0991663434681,-11.9983330845572
"448",-77.0966663434781,-11.9983330845572
"449",-77.0883330101778,-11.9983330845572
"450",-77.0866663435178,-11.9983330845572
"451",-77.0849996768577,-11.9983330845572
"452",-77.0849996768577,-11.9983330845572
"453",-77.1033330101183,-11.9991664178872
"454",-77.0991663434681,-11.9991664178872
"455",-77.094999676818,-11.9991664178872
"456",-77.0883330101778,-11.9991664178872
"457",-77.0866663435178,-11.9991664178872
"458",-77.1058330101083,-11.9999997512172
"459",-77.1016663434582,-11.9999997512172
"460",-77.0858330101877,-11.9999997512172
"461",-77.0849996768577,-11.9999997512172
"462",-77.0833330101977,-11.9999997512172
"463",-77.0874996768478,-12.0008330845472
"464",-77.0858330101877,-12.0008330845472
"465",-77.0858330101877,-12.0008330845472
"466",-77.0833330101977,-12.0008330845472
"467",-77.1008330101282,-12.0016664178772
"468",-77.0908330101679,-12.0016664178772
"469",-77.0974996768081,-12.0024997512071
"470",-77.0899996768379,-12.0024997512071
"471",-77.0841663435277,-12.0024997512071
"472",-77.0916663434979,-12.0033330845371
"473",-77.0916663434979,-12.0033330845371
"474",-77.0858330101877,-12.0033330845371
"475",-77.094166343488,-12.0041664178671
"476",-77.0891663435078,-12.0041664178671
"477",-77.0891663435078,-12.0041664178671
"478",-77.0858330101877,-12.0041664178671
"479",-77.0899996768379,-12.0049997511971
"480",-77.094999676818,-12.0058330845271
"481",-77.094166343488,-12.0058330845271
"482",-77.094166343488,-12.0058330845271
"483",-77.0883330101778,-12.0058330845271
"484",-77.0883330101778,-12.0058330845271
"485",-77.0833330101977,-12.0058330845271
"486",-77.0833330101977,-12.0058330845271
"487",-77.0908330101679,-12.006666417857
"488",-77.0908330101679,-12.006666417857
"489",-77.0858330101877,-12.006666417857
"490",-77.0908330101679,-12.007499751187
"491",-77.0866663435178,-12.007499751187
"492",-77.0849996768577,-12.007499751187
"493",-77.0824996768677,-12.007499751187
"494",-77.0574996769669,-12.007499751187
"495",-77.0549996769768,-12.007499751187
"496",-77.0841663435277,-12.008333084517
"497",-77.061666343617,-12.008333084517
"498",-77.0633330102771,-12.009166417847
"499",-77.059166343627,-12.009166417847
"500",-77.059166343627,-12.009166417847
"501",-77.0566663436369,-12.009166417847
"502",-77.0566663436369,-12.009166417847
"503",-77.0566663436369,-12.009166417847
"504",-77.0849996768577,-12.009999751177
"505",-77.0849996768577,-12.009999751177
"506",-77.0833330101977,-12.009999751177
"507",-77.0641663436071,-12.009999751177
"508",-77.0866663435178,-12.0108330845069
"509",-77.0866663435178,-12.0108330845069
"510",-77.0708330102473,-12.0108330845069
"511",-77.0708330102473,-12.0108330845069
"512",-77.0658330102672,-12.0108330845069
"513",-77.0658330102672,-12.0108330845069
"514",-77.0649996769371,-12.0108330845069
"515",-77.0574996769669,-12.0108330845069
"516",-77.0566663436369,-12.0108330845069
"517",-77.0558330103069,-12.0108330845069
"518",-77.0541663436468,-12.0108330845069
"519",-77.0866663435178,-12.0116664178369
"520",-77.0666663435972,-12.0116664178369
"521",-77.0666663435972,-12.0116664178369
"522",-77.0633330102771,-12.0116664178369
"523",-77.0624996769471,-12.0116664178369
"524",-77.059166343627,-12.0116664178369
"525",-77.059166343627,-12.0116664178369
"526",-77.0566663436369,-12.0116664178369
"527",-77.0558330103069,-12.0116664178369
"528",-77.0841663435277,-12.0124997511669
"529",-77.0841663435277,-12.0124997511669
"530",-77.0758330102275,-12.0124997511669
"531",-77.0741663435674,-12.0124997511669
"532",-77.0699996769173,-12.0124997511669
"533",-77.0658330102672,-12.0124997511669
"534",-77.0658330102672,-12.0124997511669
"535",-77.0858330101877,-12.0133330844969
"536",-77.0833330101977,-12.0133330844969
"537",-77.0833330101977,-12.0133330844969
"538",-77.0808330102076,-12.0133330844969
"539",-77.0716663435773,-12.0133330844969
"540",-77.0716663435773,-12.0133330844969
"541",-77.0699996769173,-12.0133330844969
"542",-77.0691663435873,-12.0133330844969
"543",-77.0674996769272,-12.0133330844969
"544",-77.0666663435972,-12.0133330844969
"545",-77.0633330102771,-12.0133330844969
"546",-77.0624996769471,-12.0133330844969
"547",-77.061666343617,-12.0133330844969
"548",-77.0799996768776,-12.0141664178269
"549",-77.0624996769471,-12.0141664178269
"550",-77.0624996769471,-12.0141664178269
"551",-77.059166343627,-12.0141664178269
"552",-77.0574996769669,-12.0141664178269
"553",-77.0558330103069,-12.0141664178269
"554",-77.0558330103069,-12.0141664178269
"555",-77.0533330103168,-12.0141664178269
"556",-77.0833330101977,-12.0149997511569
"557",-77.0824996768677,-12.0149997511569
"558",-77.0791663435476,-12.0149997511569
"559",-77.0741663435674,-12.0149997511569
"560",-77.0724996769074,-12.0149997511569
"561",-77.0624996769471,-12.0149997511569
"562",-77.0624996769471,-12.0149997511569
"563",-77.059166343627,-12.0149997511569
"564",-77.0566663436369,-12.0149997511569
"565",-77.0783330102175,-12.0158330844868
"566",-77.0766663435575,-12.0158330844868
"567",-77.0699996769173,-12.0158330844868
"568",-77.0683330102572,-12.0158330844868
"569",-77.059999676957,-12.0158330844868
"570",-77.0583330102969,-12.0158330844868
"571",-77.0583330102969,-12.0158330844868
"572",-77.0533330103168,-12.0158330844868
"573",-77.0833330101977,-12.0166664178168
"574",-77.0766663435575,-12.0166664178168
"575",-77.0766663435575,-12.0166664178168
"576",-77.0724996769074,-12.0166664178168
"577",-77.0649996769371,-12.0166664178168
"578",-77.0624996769471,-12.0166664178168
"579",-77.0624996769471,-12.0166664178168
"580",-77.059999676957,-12.0166664178168
"581",-77.059166343627,-12.0166664178168
"582",-77.059166343627,-12.0166664178168
"583",-77.0583330102969,-12.0166664178168
"584",-77.0574996769669,-12.0166664178168
"585",-77.0558330103069,-12.0166664178168
"586",-77.0541663436468,-12.0166664178168
"587",-77.0533330103168,-12.0166664178168
"588",-77.0874996768478,-12.0174997511468
"589",-77.0874996768478,-12.0174997511468
"590",-77.0658330102672,-12.0174997511468
"591",-77.0658330102672,-12.0174997511468
"592",-77.061666343617,-12.0174997511468
"593",-77.061666343617,-12.0174997511468
"594",-77.0574996769669,-12.0174997511468
"595",-77.0558330103069,-12.0174997511468
"596",-77.0558330103069,-12.0174997511468
"597",-77.0533330103168,-12.0174997511468
"598",-77.0883330101778,-12.0183330844768
"599",-77.0733330102374,-12.0183330844768
"600",-77.0658330102672,-12.0183330844768
"601",-77.0524996769868,-12.0183330844768
"602",-77.0774996768875,-12.0191664178068
"603",-77.0758330102275,-12.0191664178068
"604",-77.0624996769471,-12.0191664178068
"605",-77.061666343617,-12.0191664178068
"606",-77.060833010287,-12.0191664178068
"607",-77.059999676957,-12.0191664178068
"608",-77.0583330102969,-12.0191664178068
"609",-77.0583330102969,-12.0191664178068
"610",-77.0583330102969,-12.0191664178068
"611",-77.0541663436468,-12.0191664178068
"612",-77.0783330102175,-12.0199997511367
"613",-77.0766663435575,-12.0199997511367
"614",-77.0766663435575,-12.0199997511367
"615",-77.061666343617,-12.0199997511367
"616",-77.061666343617,-12.0199997511367
"617",-77.059166343627,-12.0199997511367
"618",-77.0558330103069,-12.0199997511367
"619",-77.0549996769768,-12.0199997511367
"620",-77.0541663436468,-12.0199997511367
"621",-77.0816663435376,-12.0208330844667
"622",-77.0816663435376,-12.0208330844667
"623",-77.0758330102275,-12.0208330844667
"624",-77.0741663435674,-12.0208330844667
"625",-77.061666343617,-12.0208330844667
"626",-77.059166343627,-12.0208330844667
"627",-77.059166343627,-12.0208330844667
"628",-77.0583330102969,-12.0208330844667
"629",-77.0558330103069,-12.0208330844667
"630",-77.0558330103069,-12.0208330844667
"631",-77.0541663436468,-12.0208330844667
"632",-77.0541663436468,-12.0208330844667
"633",-77.0533330103168,-12.0208330844667
"634",-77.0524996769868,-12.0208330844667
"635",-77.0516663436568,-12.0208330844667
"636",-77.0808330102076,-12.0216664177967
"637",-77.0808330102076,-12.0216664177967
"638",-77.059166343627,-12.0216664177967
"639",-77.0583330102969,-12.0216664177967
"640",-77.0558330103069,-12.0216664177967
"641",-77.0533330103168,-12.0216664177967
"642",-77.0524996769868,-12.0216664177967
"643",-77.0508330103267,-12.0216664177967
"644",-77.0899996768379,-12.0224997511267
"645",-77.0866663435178,-12.0224997511267
"646",-77.0783330102175,-12.0224997511267
"647",-77.0749996768974,-12.0224997511267
"648",-77.0741663435674,-12.0224997511267
"649",-77.0583330102969,-12.0224997511267
"650",-77.0583330102969,-12.0224997511267
"651",-77.0508330103267,-12.0224997511267
"652",-77.0841663435277,-12.0233330844567
"653",-77.0649996769371,-12.0233330844567
"654",-77.0624996769471,-12.0233330844567
"655",-77.0624996769471,-12.0233330844567
"656",-77.060833010287,-12.0233330844567
"657",-77.0574996769669,-12.0233330844567
"658",-77.0549996769768,-12.0233330844567
"659",-77.0524996769868,-12.0233330844567
"660",-77.0524996769868,-12.0233330844567
"661",-77.0858330101877,-12.0241664177866
"662",-77.0858330101877,-12.0241664177866
"663",-77.0841663435277,-12.0241664177866
"664",-77.0783330102175,-12.0241664177866
"665",-77.0783330102175,-12.0241664177866
"666",-77.0774996768875,-12.0241664177866
"667",-77.0774996768875,-12.0241664177866
